Date,Confirmed,Recovered,Deceased,Critical,Tested,Deceased(Auto)
26/02/20,192,36,3,15,1890,9
27/02/20,218,37,5,16,2058,9
28/02/20,236,41,5,20,2209,9
29/02/20,245,41,5,20,2339,10
01/03/20,259,41,6,20,2339,10
02/03/20,278,42,6,23,2517,10
03/03/20,298,46,6,24,2684,10
04/03/20,333,46,6,24,6519,13
05/03/20,365,46,6,24,6777,14
06/03/20,420,46,6,24,7476,15
07/03/20,466,50,6,30,8029,18
08/03/20,499,57,7,27,8176,21
09/03/20,527,86,9,33,8286,23
10/03/20,585,86,12,31,9600,29
11/03/20,640,118,15,26,10024,32
12/03/20,696,118,17,29,10205,33
13/03/20,733,118,19,32,11231,35
14/03/20,795,122,22,35,12060,42
15/03/20,826,134,24,36,13026,46
16/03/20,843,139,27,41,13068,48
17/03/20,893,144,29,46,15655,49
18/03/20,928,144,29,46,14525,49
19/03/20,968,161,33,46,15354,49
20/03/20,1022,193,35,50,18844,50
21/03/20,1059,198,36,55,18963,51
22/03/20,1104,235,40,57,20228,55
23/03/20,1144,247,41,54,20340,60
24/03/20,1217,251,42,55,24430,60
25/03/20,1314,272,44,57,23521,62
26/03/20,1416,320,46,56,25171,65
27/03/20,1530,372,47,56,27005,67
28/03/20,1728,404,52,56,28464,72
29/03/20,1907,424,52,59,28760,74
30/03/20,2001,424,54,59,28966,74
31/03/20,2255,424,57,59,32497,78
01/04/20,2535,472,60,60,34508,81
02/04/20,2818,501,60,62,34510,84
03/04/20,3154,522,62,64,39446,88
04/04/20,3526,583,80,69,42882,96
05/04/20,3878,607,89,70,44639,108
06/04/20,4112,604,92,79,46172,116
07/04/20,4487,640,93,80,55311,120
08/04/20,5023,644,94,99,61498,129
09/04/20,5617,646,107,109,64387,135
10/04/20,6253,679,113,117,68771,154
11/04/20,6954,789,119,122,74891,171
12/04/20,7476,775,125,129,77381,184
13/04/20,7776,790,129,135,78702,190
14/04/20,8280,849,139,152,89551,215
15/04/20,8838,901,178,168,94236,233
16/04/20,9401,965,190,193,100703,252
17/04/20,9961,1049,202,207,106372,267
18/04/20,10551,1114,222,211,111325,298
19/04/20,10917,1454,236,217,112816,316
20/04/20,11261,1540,263,231,116725,340
21/04/20,11643,1952,281,232,124550,357
22/04/20,12039,1982,294,241,130587,369
23/04/20,12471,2356,324,259,135983,393
24/04/20,12855,2407,334,263,141600,411
25/04/20,13185,2552,351,287,147454,432
26/04/20,13404,2729,372,296,149074,441
27/04/20,13575,2939,394,300,150692,457
28/04/20,13860,3309,413,305,160546,474
29/04/20,14076,3524,434,306,164255,496
30/04/20,14284,3769,455,308,165609,523
01/05/20,14557,4187,477,328,174150,547
02/05/20,14860,4359,517,324,181527,575
03/05/20,15059,4550,531,321,183251,589
04/05/20,15227,4725,556,308,184586,605
05/05/20,15352,5360,566,309,186343,611
06/05/20,15453,5631,577,308,188927,622
07/05/20,15551,7090,590,300,190030,633
08/05/20,15638,7791,606,287,202013,649
09/05/20,15752,8216,624,266,210308,665
10/05/20,15821,8478,633,266,214256,676
11/05/20,15858,8733,657,249,209830,697
12/05/20,15945,9823,678,243,215275,715
13/05/20,15995,9966,696,259,220472,734
14/05/20,16093,10489,713,245,226172,749
15/05/20,16145,11094,729,237,230882,766
16/05/20,16199,11390,748,232,240368,781
17/05/20,16223,11482,756,232,244452,789
18/05/20,16256,11769,768,228,250151,800
19/05/20,16284,12220,773,213,255675,805
20/05/20,16318,12497,784,210,258277,813
21/05/20,16359,12815,799,199,261572,826
22/05/20,16382,13072,814,176,265502,838
23/05/20,16407,13129,825,174,268477,847
24/05/20,16448,13333,838,168,271201,860
25/05/20,16469,13555,851,165,272688,874
26/05/20,16498,13798,860,155,276170,880
27/05/20,16533,13973,870,147,278642,888
28/05/20,16593,14096,882,136,281293,896
29/05/20,16668,14213,889,131,284763,901
30/05/20,16712,14267,894,123,287754,904
31/05/20,16746,14342,897,119,290436,906
01/06/20,16783,14463,899,115,292569,907
02/06/20,16834,14585,902,113,296383,909
03/06/20,16864,14702,905,101,300277,912
04/06/20,16912,14785,910,102,303633,916
05/06/20,16955,14899,914,98,307462,920
06/06/20,17003,14927,916,99,311447,922
07/06/20,17039,14983,916,98,314483,923
08/06/20,17060,15043,919,99,316848,925
09/06/20,17107,15141,920,99,321053,926
10/06/20,17146,15217,922,91,324675,927
11/06/20,17185,15255,922,88,328730,927
12/06/20,17246,15328,925,82,332207,929
13/06/20,17290,15459,927,76,335161,930
14/06/20,17365,15514,927,73,338758,930
15/06/20,17436,15567,929,71,340918,932
16/06/20,17480,15701,934,80,344526,937
17/06/20,17529,15753,935,70,348051,938
18/06/20,17600,15930,935,62,396433,939
19/06/20,17656,16008,954,62,403380,956
20/06/20,17719,16077,954,61,409022,956
21/06/20,17778,16108,955,59,412669,957
22/06/20,17820,16133,956,59,417951,958
23/06/20,17879,16212,965,62,424767,967
24/06/20,17975,16263,969,60,429481,971
25/06/20,18054,16320,971,58,435495,973
26/06/20,18159,16392,971,51,440739,973
27/06/20,18252,16452,972,48,446589,973
28/06/20,18363,16505,972,45,451772,973
29/06/20,18474,16557,972,43,454609,973
30/06/20,18612,16631,972,42,461446,975
01/07/20,18738,16731,976,40,467444,976
