Updated On,State,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Cumulative People In Quarantine,Total People Currently in Quarantine,Tag (People in Quarantine),Total People Released From Quarantine,People in ICU,People on Ventilators,Num Isolation Beds,Num ICU Beds,Num Ventilators,Total PPE,Total N95 Masks,Test positivity rate,Tests per thousand,Tests per million,Tests per positive case
4/17/2020,Andaman and Nicobar Islands,1403,Samples Sent,12,1210,181,,,,,,,50,,,,,0.86%,3.53,3534,117
4/24/2020,Andaman and Nicobar Islands,2679,Samples Sent,27,,246,,614,Institutional,347,,,50,,,,,1.01%,6.75,6748,99
4/27/2020,Andaman and Nicobar Islands,2848,Samples Sent,33,,106,,724,Institutional,420,,,50,,,,,1.16%,7.17,7174,86
5/1/2020,Andaman and Nicobar Islands,3754,Samples Sent,33,,199,,643,Institutional,556,,,50,,,,,0.88%,9.46,9456,114
5/16/2020,Andaman and Nicobar Islands,6677,Samples Sent,33,,136,,16,Institutional,1196,,,98,,,,,0.49%,16.82,16819,202
5/19/2020,Andaman and Nicobar Islands,6965,Samples Sent,33,,117,,2,Institutional,1213,,,98,,,,,,,,
5/20/2020,Andaman and Nicobar Islands,7082,Samples Sent,33,,117,,0,Institutional,1215,,,98,,,,,,,,
5/21/2020,Andaman and Nicobar Islands,7167,Samples Sent,33,,85,,0,Institutional,1215,,,98,,,,,,,,
5/22/2020,Andaman and Nicobar Islands,7263,Samples Sent,33,,96,,0,Institutional,1215,,,98,,,,,0.45%,18.29,18295,220
5/23/2020,Andaman and Nicobar Islands,7327,Samples Sent,33,,61,,0,Institutional,1215,,,98,,,,,,,,
5/24/2020,Andaman and Nicobar Islands,7327,Samples Sent,33,,0,,0,Institutional,1215,,,98,,,,,,,,
5/25/2020,Andaman and Nicobar Islands,7363,Samples Sent,33,,34,,0,,,,,98,,,,,,,,
5/26/2020,Andaman and Nicobar Islands,7448,Samples Sent,33,,84,,0,,,,,98,,,,,,,,
5/27/2020,Andaman and Nicobar Islands,7499,Samples Sent,33,,51,,0,,,,,98,,,,,,,,
5/28/2020,Andaman and Nicobar Islands,7519,Samples Sent,33,,19,,0,,,,,98,,,,,,,,
5/29/2020,Andaman and Nicobar Islands,7567,Samples Sent,33,,48,,0,,,,,98,,,,,,,,
5/30/2020,Andaman and Nicobar Islands,7567,Samples Sent,33,,129,,0,,,,,98,,,,,,,,
5/31/2020,Andaman and Nicobar Islands,7706,Samples Sent,33,,0,,0,,,,,109,,,,,,,,
6/1/2020,Andaman and Nicobar Islands,7805,Samples Sent,33,,99,,0,,,,,109,,,,,,,,
6/2/2020,Andaman and Nicobar Islands,8086,Samples Sent,33,,274,,0,,,,,109,,,,,,,,
6/3/2020,Andaman and Nicobar Islands,8295,Samples Sent,33,,208,,0,,,,,109,,,,,,,,
6/4/2020,Andaman and Nicobar Islands,8413,Samples Sent,33,,118,,0,,,,,109,,,,,,,,
6/5/2020,Andaman and Nicobar Islands,8694,Samples Sent,33,,281,,0,,,,,109,,,,,,,,
6/6/2020,Andaman and Nicobar Islands,9037,Samples Sent,33,,343,,0,,,,,109,,,,,,,,
6/7/2020,Andaman and Nicobar Islands,9242,Samples Sent,33,,404,,0,,,,,109,,,,,,,,
6/8/2020,Andaman and Nicobar Islands,9341,Samples Sent,33,,279,,0,,,,,109,,,,,,,,
6/9/2020,Andaman and Nicobar Islands,9859,Samples Sent,33,,531,,0,,,,,109,,,,,,,,
6/10/2020,Andaman and Nicobar Islands,10010,Samples Sent,35,,382,,,,,,,109,,,,,,,,
6/11/2020,Andaman and Nicobar Islands,10226,Samples Sent,38,,294,,,,,,,109,,,,,,,,
6/12/2020,Andaman and Nicobar Islands,10697,Samples Sent,38,,556,,,,,,,109,,,,,,,,
6/13/2020,Andaman and Nicobar Islands,10955,Samples Sent,38,,814,,,,,,,109,,,,,,,,
6/14/2020,Andaman and Nicobar Islands,11356,Samples Sent,38,,1040,,1,Institutional,,,,109,,,,,,,,
6/15/2020,Andaman and Nicobar Islands,11518,Samples Sent,41,,579,,4,Institutional,,,,109,,,,,,,,
6/16/2020,Andaman and Nicobar Islands,11809,Samples Sent,44,,719,,4,Institutional,,,,109,,,,,,,,
6/17/2020,Andaman and Nicobar Islands,12239,Samples Sent,44,,383,,4,Institutional,,,,109,,,,,,,,
6/18/2020,Andaman and Nicobar Islands,12622,Samples Sent,45,,350,,4,Institutional,,,,184,,,,,,,,
6/19/2020,Andaman and Nicobar Islands,12930,Samples Sent,47,,306,,4,Institutional,,,,184,,,,,,,,
6/20/2020,Andaman and Nicobar Islands,13320,Samples Sent,47,,372,,4,Institutional,,,,,,,,,,,,
6/21/2020,Andaman and Nicobar Islands,13434,Samples Sent,48,,437,,4,Institutional,,,,,,,,,,,,
6/22/2020,Andaman and Nicobar Islands,13511,Samples Sent,48,,71,,3,Institutional,,,,,,,,,,,,
6/23/2020,Andaman and Nicobar Islands,13723,Samples Sent,50,,188,,3,Institutional,,,,,,,,,,,,
6/24/2020,Andaman and Nicobar Islands,13994,Samples Sent,56,,265,,3,Institutional,,,,,,,,,,,,
6/25/2020,Andaman and Nicobar Islands,14277,Samples Sent,59,,223,,6,Institutional,,,,,,,,,,,,
4/2/2020,Andhra Pradesh,1800,Tested,132,1175,493,,,,,,,23479,2680,330,,,7.33%,0.03,34,14
4/10/2020,Andhra Pradesh,6374,Tested,365,6009,,,,,,,,,,,,,5.73%,0.12,122,17
4/11/2020,Andhra Pradesh,6958,Tested,381,6577,,,,,,,,,,,,,5.48%,0.13,133,18
4/12/2020,Andhra Pradesh,6958,Tested,405,6553,,,,,,,,,,,,,5.82%,0.13,133,17
4/13/2020,Andhra Pradesh,8755,Tested,432,8323,,,,,,,,,,,,,4.93%,0.17,168,20
4/14/2020,Andhra Pradesh,10505,Tested,473,10032,,,,,,,,,,,,,4.50%,0.2,201,22
4/15/2020,Andhra Pradesh,11613,Tested,525,11088,,,,,,,,,,,,,4.52%,0.22,222,22
4/16/2020,Andhra Pradesh,20235,Tested,534,19701,,,,,,,,,,,,,2.64%,0.39,387,38
4/17/2020,Andhra Pradesh,20235,Tested,572,,,,,,,,,,,,,,2.83%,0.39,387,35
4/18/2020,Andhra Pradesh,21450,Tested,603,20487,,,,,,,,,,,,,2.81%,0.41,411,36
4/19/2020,Andhra Pradesh,26958,Tested,647,26311,,,,,,,,,,,,,2.40%,0.52,516,42
4/20/2020,Andhra Pradesh,30733,Tested,722,30011,,,,,,,,,,,,,2.35%,0.59,589,43
4/21/2020,Andhra Pradesh,35755,Tested,757,34998,,,,,,,,,,,,,2.12%,0.68,685,47
4/22/2020,Andhra Pradesh,41512,Tested,813,40699,,,,,,,,,,,,,1.96%,0.79,795,51
4/23/2020,Andhra Pradesh,48032,Tested,893,47139,,,,,,,,,,,,,1.86%,0.92,920,54
4/24/2020,Andhra Pradesh,54338,Tested,955,53383,,,,,,,,,,,,,1.76%,1.04,1041,57
4/25/2020,Andhra Pradesh,61266,Tested,1016,60250,,,,,,,,,,,,,1.66%,1.17,1173,60
4/26/2020,Andhra Pradesh,68034,Tested,1097,66937,,,,,,,,,,,,,1.61%,1.3,1303,62
4/27/2020,Andhra Pradesh,74551,Tested,1177,73374,,,,,,,,,,,,,1.58%,1.43,1428,63
4/28/2020,Andhra Pradesh,80334,Tested,1259,79075,,,,,,,,,,,,,1.57%,1.54,1538,64
4/29/2020,Andhra Pradesh,88061,Tested,1332,86729,,,,,,,,,,,,,1.51%,1.69,1686,66
4/30/2020,Andhra Pradesh,94558,Tested,1403,93155,,,,,,,,,,,,,1.48%,1.81,1811,67
5/1/2020,Andhra Pradesh,102460,Tested,1463,100997,,,,,,,,,,,,,1.43%,1.96,1962,70
5/2/2020,Andhra Pradesh,108403,Tested,1525,106878,,,,,,,,,,,,,1.41%,2.08,2076,71
5/3/2020,Andhra Pradesh,114937,Tested,1583,113354,,,,,,,,,,,,,1.38%,2.2,2201,73
5/4/2020,Andhra Pradesh,125229,Tested,1650,123579,,,,,,,,,,,,,1.32%,2.4,2398,76
5/5/2020,Andhra Pradesh,133492,Tested,1717,131775,,,,,,,,,,,,,1.29%,2.56,2556,78
5/6/2020,Andhra Pradesh,141274,Tested,1777,139497,,,,,,,,,,,,,1.26%,2.71,2705,80
5/7/2020,Andhra Pradesh,149361,Tested,1833,147528,,,,,,,,,,,,,1.23%,2.86,2860,81
5/8/2020,Andhra Pradesh,156681,Tested,1887,154794,,,,,,,,,,,,,1.20%,3,3000,83
5/9/2020,Andhra Pradesh,165069,Tested,1930,163139,,,,,,,,,,,,,1.17%,3.16,3161,86
5/10/2020,Andhra Pradesh,173735,Tested,1980,171755,,,,,,,,,,,,,1.14%,3.33,3327,88
5/11/2020,Andhra Pradesh,181144,Tested,2018,179126,,,,,,,,,,,,,1.11%,3.47,3469,90
5/12/2020,Andhra Pradesh,191874,Tested,2051,189823,,,,,,,,,,,,,1.07%,3.67,3674,94
5/13/2020,Andhra Pradesh,201196,Tested,2137,199059,,,,,,,,,,,,,1.06%,3.85,3853,94
5/14/2020,Andhra Pradesh,210452,Tested,2100,208247,,,,,,,,,,,,,1.00%,4.03,4030,100
5/15/2020,Andhra Pradesh,219490,Tested,2157,217183,,,,,,,,,,,,,0.98%,4.2,4203,102
5/16/2020,Andhra Pradesh,,,,,,,,,,,,,,,,,,0,0,
5/17/2020,Andhra Pradesh,238998,Tested,2230,236618,,,,,,,,,,,,,0.93%,4.58,4577,107
5/18/2020,Andhra Pradesh,248771,Tested,2282,246279,,,,,,,,,,,,,0.92%,4.76,4764,109
5/19/2020,Andhra Pradesh,258450,Tested,2339,255961,,,,,,,,,,,,,0.91%,4.95,4949,110
5/20/2020,Andhra Pradesh,267612,Tested,2407,265052,,,,,,,,,,,,,0.90%,5.12,5125,111
5/21/2020,Andhra Pradesh,275704,Tested,2452,273099,,,,,,,,,,,,,0.89%,5.28,5280,112
5/22/2020,Andhra Pradesh,284119,Tested,2514,281452,,,,,,,,,,,,,0.88%,5.44,5441,113
5/23/2020,Andhra Pradesh,292969,Tested,2561,290255,,,,,,,,,,,,,0.87%,5.61,5610,114
5/24/2020,Andhra Pradesh,304326,Tested,2627,301529,,,,,,,,,,,,,0.86%,5.83,5828,116
5/25/2020,Andhra Pradesh,314566,Tested,2671,311680,,,,,,,,,,,,,0.85%,6.02,6024,118
5/26/2020,Andhra Pradesh,322714,Tested,2719,319731,,,,,,,,,,,,,0.84%,6.18,6180,119
5/27/2020,Andhra Pradesh,332378,Tested,2787,329261,,,,,,,,,,,,,0.84%,6.36,6365,119
5/28/2020,Andhra Pradesh,342236,Tested,2841,338991,,,,,,,,,,,,,0.83%,6.55,6554,120
5/29/2020,Andhra Pradesh,353874,Tested,2874,350544,,,,,,,,,,,,,0.81%,6.78,6776,123
5/30/2020,Andhra Pradesh,363378,Tested,2944,359917,,,,,,,,,,,,,0.81%,6.96,6958,123
5/31/2020,Andhra Pradesh,372748,Tested,3045,369177,,,,,,,,,,,,,0.82%,7.14,7138,122
6/1/2020,Andhra Pradesh,383315,Tested,3118,379639,,,,,,,,,,,,,0.81%,7.34,7340,123
6/2/2020,Andhra Pradesh,395681,Tested,3200,391890,,,,,,,,,,,,,0.81%,7.58,7577,124
6/3/2020,Andhra Pradesh,403747,Tested,3279,399776,,,,,,,,,,,,,0.81%,7.73,7732,123
6/4/2020,Andhra Pradesh,413733,Tested,3377,409621,,,,,,,,,,,,,0.82%,7.92,7923,123
6/5/2020,Andhra Pradesh,423564,Tested,3427,419314,,,,,,,,,,,,,0.81%,8.11,8111,124
6/6/2020,Andhra Pradesh,436335,Tested,3588,431875,,,,,,,,,,,,,0.82%,8.36,8356,122
6/7/2020,Andhra Pradesh,454030,Tested,3718,449371,,,,,,,,,,,,,0.82%,8.69,8694,122
6/8/2020,Andhra Pradesh,468276,Tested,3843,463463,,,,,,,,,,,,,0.82%,8.97,8967,122
6/9/2020,Andhra Pradesh,483361,Tested,3990,478332,,,,,,,,,,,,,0.83%,9.26,9256,121
6/10/2020,Andhra Pradesh,498716,Tested,4126,493469,,,,,,,,,,,,,0.83%,9.55,9550,121
6/11/2020,Andhra Pradesh,510318,Tested,4261,504889,,,,,,,,,,,,,0.83%,9.77,9772,120
6/12/2020,Andhra Pradesh,522093,Tested,4402,516457,,,,,,,,,,,,,0.84%,10,9998,119
6/13/2020,Andhra Pradesh,536570,Tested,4588,530712,,,,,,,,,,,,,0.86%,10.27,10275,117
6/14/2020,Andhra Pradesh,552202,Tested,4841,546050,,,,,,,,,,,,,0.88%,10.57,10574,114
6/15/2020,Andhra Pradesh,567375,Tested,5087,560919,,,,,,,,,,,,,0.90%,10.86,10865,112
6/16/2020,Andhra Pradesh,583286,Tested,5280,576566,,,,,,,,,,,,,0.91%,11.17,11170,110
6/17/2020,Andhra Pradesh,598474,Tested,5555,591403,,,,,,,,,,,,,0.93%,11.46,11460,108
6/18/2020,Andhra Pradesh,612397,Tested,5854,604901,,,,,,,,,,,,,0.96%,11.73,11727,105
6/19/2020,Andhra Pradesh,630006,Tested,7961,622045,,,,,,,,,,,,,1.26%,12.06,12064,79
6/20/2020,Andhra Pradesh,652377,Tested,8452,643925,,,,,,,,,,,,,1.30%,12.49,12493,77
6/21/2020,Andhra Pradesh,676828,Tested,8929,667899,,,,,,,,,,,,,1.32%,12.96,12961,76
6/22/2020,Andhra Pradesh,693548,Tested,9372,684176,,,,,,,,,,,,,1.35%,13.28,13281,74
6/23/2020,Andhra Pradesh,714187,Tested,9834,704353,,,,,,,,,,,,,1.38%,13.68,13676,73
6/24/2020,Andhra Pradesh,750234,Tested,10331,739903,,,,,,,,,,,,,,,,
6/25/2020,Andhra Pradesh,769319,Tested,10884,758435,,,,,,,,,,,,,,,,
6/26/2020,Andhra Pradesh,791624,Tested,11489,780135,,,,,,,,,,,,,,,,
4/9/2020,Arunachal Pradesh,206,Samples Collected,1,185,20,,,,,,,,,,,,0.49%,0.14,137,206
4/14/2020,Arunachal Pradesh,280,Samples Collected,1,250,29,,,,,,,,,,,,0.36%,0.19,186,280
4/17/2020,Arunachal Pradesh,363,Samples Collected,1,338,25,,,,,,,,,,,,0.28%,0.24,241,363
4/18/2020,Arunachal Pradesh,389,Samples Collected,1,358,31,,,,,,,,,,,,0.26%,0.26,259,389
4/20/2020,Arunachal Pradesh,439,Samples Collected,1,405,34,,,,,,,,,,,,0.23%,0.29,292,439
4/21/2020,Arunachal Pradesh,454,Samples Collected,1,433,19,,,,,,,,,,,,0.22%,0.3,302,454
4/22/2020,Arunachal Pradesh,496,Samples Collected,2,441,53,,,,,,,,,,,,0.40%,0.33,330,248
4/24/2020,Arunachal Pradesh,526,Samples Collected,2,508,16,,,,,,,,,,,,0.38%,0.35,350,263
4/26/2020,Arunachal Pradesh,568,Samples Collected,2,529,37,,,,,,,,,,,,0.35%,0.38,378,284
4/27/2020,Arunachal Pradesh,584,Samples Collected,2,566,16,,,,,,,,,,,,0.34%,0.39,388,292
4/28/2020,Arunachal Pradesh,610,Samples Collected,2,581,27,,,,,,,,,,,,0.33%,0.41,406,305
4/29/2020,Arunachal Pradesh,662,Samples Collected,2,595,65,,,,,,,,,,,,0.30%,0.44,440,331
4/30/2020,Arunachal Pradesh,694,Samples Collected,2,656,36,,,,,,,,,,,,0.29%,0.46,461,347
5/1/2020,Arunachal Pradesh,724,Samples Collected,2,692,30,,,,,,,,,,,,0.28%,0.48,481,362
5/2/2020,Arunachal Pradesh,,,,,,,,,,,,,,,,,,0,0,
5/3/2020,Arunachal Pradesh,810,Samples Collected,2,761,47,,,,,,,,,,,,0.25%,0.54,539,405
5/4/2020,Arunachal Pradesh,869,Samples Collected,2,762,105,,,,,,,,,,,,0.23%,0.58,578,435
5/5/2020,Arunachal Pradesh,970,Samples Collected,2,814,154,,,,,,,,,,,,0.21%,0.64,645,485
5/6/2020,Arunachal Pradesh,1039,Samples Collected,2,857,180,,,,,,,,,,,,0.19%,0.69,691,520
5/7/2020,Arunachal Pradesh,1144,Samples Collected,2,952,190,,,,,,,,,,,,0.17%,0.76,761,572
5/8/2020,Arunachal Pradesh,1354,Samples Collected,2,1015,337,,,,,,,,,,,,0.15%,0.9,900,677
5/9/2020,Arunachal Pradesh,1597,Samples Collected,2,1266,329,,,,,,,,,,,,0.13%,1.06,1062,799
5/10/2020,Arunachal Pradesh,1823,Samples Collected,2,1363,458,,,,,,,,,,,,0.11%,1.21,1212,912
5/11/2020,Arunachal Pradesh,2078,Samples Collected,2,1538,538,,,,,,,,,,,,0.10%,1.38,1382,1039
5/12/2020,Arunachal Pradesh,2257,Samples Collected,2,1798,457,,,,,,,,,,,,0.09%,1.5,1501,1129
5/13/2020,Arunachal Pradesh,2483,Samples Collected,2,1902,579,,,,,,,,,,,,0.08%,1.65,1651,1242
5/14/2020,Arunachal Pradesh,2677,Samples Collected,2,2233,442,,,,,,,,,,,,0.07%,1.78,1780,1339
5/15/2020,Arunachal Pradesh,2942,Samples Collected,2,2546,394,,,,,,,,,,,,0.07%,1.96,1956,1471
5/16/2020,Arunachal Pradesh,3163,Samples Collected,2,2861,300,,,,,,,,,,,,0.06%,2.1,2103,1582
5/17/2020,Arunachal Pradesh,3349,Samples Collected,2,2966,381,,,,,,,,,,,,0.06%,2.23,2227,1675
5/18/2020,Arunachal Pradesh,3662,Samples Collected,2,3166,494,,,,,,,,,,,,0.05%,2.43,2435,1831
5/19/2020,Arunachal Pradesh,3941,Samples Collected,2,3392,547,,,,,,,,,,,,0.05%,2.62,2620,1971
5/20/2020,Arunachal Pradesh,4157,Samples Collected,2,3710,445,,,,,,,,,,,,0.05%,2.76,2764,2079
5/21/2020,Arunachal Pradesh,4438,Samples Collected,2,3963,473,,,,,,,,,,,,0.05%,2.95,2951,2219
5/22/2020,Arunachal Pradesh,4844,Samples Collected,2,4211,631,,,,,,,,,,,,0.04%,3.22,3221,2422
5/23/2020,Arunachal Pradesh,5206,Samples Collected,2,4340,864,,,,,,,,,,,,0.04%,3.46,3461,2603
5/24/2020,Arunachal Pradesh,5428,Samples Collected,2,4552,873,,,,,,,,,,,,0.04%,3.61,3609,2714
5/25/2020,Arunachal Pradesh,5997,Samples Collected,2,4941,1053,,,,,,,,,,,,0.03%,3.99,3987,2999
5/26/2020,Arunachal Pradesh,6319,Samples Collected,2,5083,1233,,,,,,,,,,,,0.03%,4.2,4201,3160
5/27/2020,Arunachal Pradesh,6436,Samples Collected,2,5405,1028,,,,,,,,,,,,0.03%,4.28,4279,3218
5/28/2020,Arunachal Pradesh,6984,Samples Collected,3,5677,1303,,,,,,,,,,,,0.04%,4.64,4644,2328
5/29/2020,Arunachal Pradesh,7488,Samples Collected,3,6268,1216,,,,,,,,,,,,0.04%,4.98,4979,2496
5/30/2020,Arunachal Pradesh,8017,Samples Collected,4,6675,1335,,,,,,,,,,,,0.05%,5.33,5330,2004
5/31/2020,Arunachal Pradesh,8283,Samples Collected,4,7012,1264,,,,,,,,,,,,0.05%,5.51,5507,2071
6/1/2020,Arunachal Pradesh,8768,Samples Collected,22,7528,1215,,,,,,,,,,,,0.25%,5.83,5830,399
6/2/2020,Arunachal Pradesh,9079,Samples Collected,28,7806,1242,,,,,,,,,,,,0.31%,6.04,6037,324
6/3/2020,Arunachal Pradesh,9551,Samples Collected,38,7927,1583,,,,,,,,,,,,0.40%,6.35,6350,251
6/4/2020,Arunachal Pradesh,10025,Samples Collected,43,8552,1427,,,,,,,,,,,,0.43%,6.67,6666,233
6/5/2020,Arunachal Pradesh,10790,Samples Collected,46,8877,1755,,,,,,,,,,,,0.43%,7.17,7174,235
6/6/2020,Arunachal Pradesh,11261,Samples Collected,49,9350,1841,,,,,,,,,,,,0.44%,7.49,7487,230
6/7/2020,Arunachal Pradesh,11516,Samples Collected,51,9921,1520,,,,,,,,,,,,0.44%,7.66,7657,226
6/8/2020,Arunachal Pradesh,12012,Samples Collected,57,10376,1555,,,,,,,,,,,,0.47%,7.99,7987,211
6/9/2020,Arunachal Pradesh,12455,Samples Collected,57,10642,1731,,,,,,,,,,,,0.46%,8.28,8281,219
6/10/2020,Arunachal Pradesh,13035,Samples Collected,61,11420,1531,,,,,,,,,,,,0.47%,8.67,8667,214
6/11/2020,Arunachal Pradesh,13479,Samples Collected,67,11754,1627,,,,,,,,,,,,0.50%,8.96,8962,201
6/12/2020,Arunachal Pradesh,14047,Samples Collected,87,12119,1810,,,,,,,,,,,,0.62%,9.34,9340,161
6/13/2020,Arunachal Pradesh,14518,Samples Collected,88,12817,1582,,,,,,,,,,,,0.61%,9.65,9653,165
6/15/2020,Arunachal Pradesh,15453,Samples Collected,95,13610,1715,,,,,,,,,,,,0.61%,10.27,10275,163
6/16/2020,Arunachal Pradesh,16158,Samples Collected,99,14339,1685,,,,,,,,,,,,0.61%,10.74,10743,163
6/17/2020,Arunachal Pradesh,16630,Samples Collected,103,14698,1792,,,,,,,,,,,,0.62%,11.06,11057,161
6/18/2020,Arunachal Pradesh,16630,Samples Collected,103,14698,1792,,,,,,,,,,,,0.62%,11.06,11057,161
6/19/2020,Arunachal Pradesh,18008,Samples Collected,135,14698,1696,,,,,,,,,,,,0.75%,11.97,11973,133
6/20/2020,Arunachal Pradesh,18521,Samples Collected,135,16827,1520,,,,,,,,,,,,0.73%,12.31,12314,137
6/21/2020,Arunachal Pradesh,19154,Samples Collected,139,17100,1876,,,,,,,,,,,,0.73%,12.74,12735,138
6/22/2020,Arunachal Pradesh,19799,Samples Collected,148,18123,1483,,,,,,,,,,,,0.75%,13.16,13164,134
6/23/2020,Arunachal Pradesh,20398,Samples Collected,158,18571,1623,,,,,,,,,,,,0.77%,13.56,13563,129
6/24/2020,Arunachal Pradesh,20938,Samples Collected,160,18979,1752,,,,,,,,,,,,0.76%,13.92,13922,131
6/25/2020,Arunachal Pradesh,21274,Samples Collected,172,19298,1441,,,,,,,,,,,,0.81%,14.14,14145,124
6/26/2020,Arunachal Pradesh,21890,Samples Collected,174,19877,1415,,,,,,,,,,,,0.79%,14.55,14555,126
4/2/2020,Assam,962,Tested,16,819,,,,,,,,,,,,,1.66%,0.03,28,60
4/10/2020,Assam,2863,Tested,29,2685,,,,,,,,3212,440,240,,,1.01%,0.08,83,99
4/11/2020,Assam,3011,Tested,29,2842,,,,,,,,3212,440,240,,,0.96%,0.09,88,104
4/12/2020,Assam,3138,Tested,29,2973,194,,,,,,,3212,440,240,,,0.92%,0.09,92,108
