Update Time Stamp,Tested As Of,Total Samples Tested,Total Individuals Tested,Total Positive Cases,Tests conducted by Private Labs,Sample Reported today,Positive cases from samples reported,Test positivity rate,Individuals Tested Per Confirmed Case,Tests Per Confirmed Case,Tests per million
3/13/2020 0:00,3/13/2020,6500,5900,78,,,,1.20%,75.64,83.33,5
3/18/2020 18:00,3/18/2020,13125,12235,150,,,,1.14%,81.57,87.5,10
3/19/2020 10:00,3/19/2020,13316,12426,168,,,,1.26%,73.96,79.26,10
3/19/2020 18:00,3/19/2020,14175,13285,182,,,,1.28%,72.99,77.88,11
3/20/2020 10:00,3/20/2020,14376,13486,206,,,,1.43%,65.47,69.79,11
3/20/2020 18:00,3/20/2020,15404,14514,236,,,,1.53%,61.5,65.27,12
3/21/2020 10:00,3/21/2020,15701,14811,271,,,,1.73%,54.65,57.94,12
3/21/2020 18:00,3/21/2020,16911,16021,315,,,,1.86%,50.86,53.69,13
3/22/2020 10:00,3/22/2020,16999,16109,341,,,,2.01%,47.24,49.85,13
3/22/2020 18:00,3/22/2020,18127,17237,396,,,,2.18%,43.53,45.78,14
3/23/2020 10:00,3/23/2020,18383,17493,415,,,,2.26%,42.15,44.3,14
3/23/2020 20:00,3/23/2020,20707,19817,471,,,,2.27%,42.07,43.96,16
3/24/2020 10:00,3/24/2020,20864,19974,482,,,,2.31%,41.44,43.29,16
3/24/2020 20:00,3/24/2020,22694,21804,536,,,,2.36%,40.68,42.34,17
3/25/2020 10:00,3/25/2020,22928,22038,539,,,,2.35%,40.89,42.54,17
3/25/2020 20:00,3/25/2020,25144,24254,581,,,,2.31%,41.75,43.28,19
3/26/2020 10:00,3/26/2020,,,,,,,,,,
3/27/2020 9:00,3/26/2020,27688,26798,691,,,,2.50%,38.78,40.07,21
3/30/2020 0:00,3/30/2020,38442,,,1334,,,0.00%,,,29
3/31/2020 0:00,3/31/2020,42788,,,1733,,,0.00%,,,32
4/1/2020 0:00,4/1/2020,47951,,1637,4562,,,3.41%,0,29.29,36
4/2/2020 21:00,4/2/2020,55851,,2056,,,,3.68%,0,27.16,42
4/3/2020 9:00,4/3/2020,56680,,2183,,,,3.85%,0,25.96,43
4/3/2020 21:00,4/3/2020,69245,,2653,,10034,575,3.83%,0,26.1,52
4/4/2020 21:00,4/4/2020,79950,,3113,,,,3.89%,0,25.68,60
4/5/2020 21:00,4/5/2020,89534,,3554,,9369,295,3.97%,0,25.19,67
4/6/2020 21:00,4/6/2020,101068,,4135,,11432,311,4.09%,0,24.44,76
4/7/2020 21:00,4/7/2020,114015,,4616,,12584,285,4.05%,0,24.7,86
4/8/2020 21:00,4/8/2020,127919,,5114,,13143,320,4.00%,0,25.01,96
4/9/2020 21:00,4/9/2020,144910,130792,5705,,16002,320,3.94%,22.93,25.4,109
4/10/2020 21:00,4/10/2020,161330,147034,6872,,15663,433,4.26%,21.4,23.48,121
4/11/2020 21:00,4/11/2020,179374,164773,7703,,17143,600,4.29%,21.39,23.29,135
4/12/2020 21:00,4/12/2020,195748,181028,8312,,"15,583",544,4.25%,21.78,23.55,147
4/13/2020 21:00,4/13/2020,217554,202551,9341,,,,4.29%,21.68,23.29,163
4/14/2020 21:00,4/14/2020,244893,229426,10307,,26351,853,4.21%,22.26,23.76,184
4/15/2020 21:00,4/15/2020,274599,258730,11297,,28941,953,4.11%,22.9,24.31,206
4/16/2020 21:00,4/16/2020,302956,286714,"12,581",,27256,1206,4.15%,22.79,24.08,227
4/17/2020 21:00,4/17/2020,335123,318449,14098,,31083,1443,4.21%,22.59,23.77,251
4/18/2020 21:00,4/18/2020,372123,354969,16365,,35494,2154,4.40%,21.69,22.74,279
4/19/2020 21:00,4/19/2020,401586,383985,17615,,27824,1135,4.39%,21.8,22.8,301
4/20/2020 21:00,4/20/2020,,,,,,,,,,
4/21/2020 21:00,4/21/2020,462621,447812,,,26943,,0.00%,,,347
4/22/2020 21:00,,,,,,,,,,,
